row,SID,CASRN,Name,prop_age_under18,prop_age_65plus,female_led_hh_prop,eng_lim_prop,usentry_2010_prop,forborn_prop,uscitizen_no_prop,disability_prop,single_parent_prop,publictrans_taxi_mcycle_bike_walk_prop,travel_time_work_minute,prop_living_alone,income1yr_neg_median,poverty1yr_prop,service_manual_prop,gini_index,unemployment_prop,education_less_hs_prop,vehicle_avail_no_prop,pop_density,group_quarters_prop,occ_room_1_01plus_prop,age_structure_2019,str_units_1att_2plus_mobile_boat_rv_van_prop,str_units_20plus,move1yr_prop,str_vacancy_prop,CSMOKING_CrudePrev,BINGE_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,STROKE_CrudePrev,COPD_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,MHLTH_CrudePrev,PHLTH_CrudePrev,TEETHLOST_CrudePrev,CHECKUP_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,DENTAL_CrudePrev,CERVICAL_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,MAMMOUSE_CrudePrev,ACCESS2_CrudePrev
1,36047057800,,,0.234,0.147,0.019755409,0.230848506,0.199286442,0.572699387,0.233742331,0.099,0.162634409,0.611235955,52935,0.203198495,202535,0.309259259,0.43022415,0.5008,0.065217391,0.213285133,0.367041199,49022.9006,0,0.212605833,77,0.851433536,0.333622937,0.068531908,0.076455256,16.3,16.6,27.4,21.2,39.9,26.9,74.4,6.1,9.3,6.8,3.2,7.4,10.9,33.5,2.9,13,12.2,17.8,13.1,34.2,36,24.1,14.3,13.9,25.3,9.9,14.8
2,36047058900,,,0.111,0.156,0.027851459,0.075941677,0.090146751,0.263749261,0.08397398,0.09,0.176470588,0.755670103,40800,0.25862069,164501,0.059136606,0.344230769,0.393,0.015311005,0.074022346,0.428865979,10328.80112,0,0,80,0.986778846,0.036057692,0.089114833,0.09375,12.1,24.4,15.7,19.1,35.2,18.3,65.6,5.4,8.6,3.7,1.7,4.3,5.2,25.5,1.8,10.8,7.2,9.2,16,28.9,31,11.4,6.4,13.5,14,7.4,8.9
3,36005020900,,,0.231,0.104,0.217090069,0.205016884,0.165562914,0.387683695,0.201073011,0.145,0.766666667,0.767942584,77775,0.374133949,218811,0.334732913,0.565811966,0.4574,0.031896043,0.265086207,0.62597715,83819.20802,0.011429904,0.110277136,77,1,0.913841023,0.092835039,0.037242913,18.7,16.2,34.2,33.2,43.7,33.1,73,4.4,12.3,5.8,3.6,6.7,15,31.4,3.6,16,15.6,20.4,10.2,37.7,36.2,32.4,9,13.5,27.8,6.9,24.2
4,36005021001,,,0.195,0.127,0.098151523,0.085581736,0.199179293,0.289025756,0.095408735,0.118,0.511111111,0.771550754,226350,0.354334809,195925,0.155655095,0.463742944,0.4195,0.075133404,0.142336874,0.596487278,120208.4875,0.000895857,0.112470711,76,0.99137931,0.952955665,0.10769408,0.053940887,15.3,15.9,27.6,29.9,43.1,35.8,76.2,5.2,11.6,5.3,3.4,5.6,13.5,31.7,3.2,12.8,12.3,15.6,7.6,33.1,33.8,23.2,5.9,10.1,19.3,5.2,16.3
5,36005022901,,,0.301,0.081,0.260566882,0.189436757,0.22307975,0.446978931,0.220442278,0.143,0.792359827,0.740349265,97100,0.287419194,214540,0.352254919,0.591237579,0.4977,0.061135371,0.342589969,0.67641597,122027.53,0.005746126,0.17752362,80,0.968586387,0.733460257,0.057688905,0.042836744,23.3,15.3,39.5,34.3,45.4,32.6,71,4,12.8,6.8,4.1,8,16.4,31.4,4,18.6,18.4,28.5,11.8,39.7,39.6,41.1,14,17,35,8.4,29.5
6,36061019100,,,0.132,0.209,0.008773903,0.092620162,0.311291963,0.251716716,0.124833453,0.096,0.107366771,0.875265495,170010,0.439820022,136876,0.138920308,0.112393567,0.539,0.040393013,0.089546503,0.678620152,113078.8134,0.025520139,0.058042745,80,0.990259067,0.84642487,0.148267009,0.078756477,10.9,21.4,16.8,19.6,35.7,24.6,74.5,6.9,9.8,5.3,2.5,5.4,8.1,31.1,2.6,10.7,9.8,9,11.6,30.2,30.8,12.1,5.4,8.6,12.9,5.7,9
7,36061011401,,,0.133,0.421,0.023328149,0.011197244,0.081355932,0.219948849,0.085251492,0.088,0.138157895,0.721062619,9520,0.483670295,0,0.056458512,0.017077799,0.5642,0.047732697,0.016032064,0.661567878,30840.70384,0.011935209,0.00933126,80,0.995620438,0.839416058,0.078515962,0.530656934,7.4,17.8,14.7,16.3,30.2,29.4,81,11,8.7,7.3,3,5.7,8.2,36.1,3.1,7.9,8.9,6.7,7.6,25.3,27.6,5.8,3.8,4.1,6.5,6.8,6.1
8,36005021200,,,0.148,0.131,0.065481353,0.041903559,0.099018733,0.348247423,0.087216495,0.144,0.466176471,0.832631176,130745,0.413269731,192501,0.122680412,0.418913787,0.374,0.057848195,0.150388012,0.684795098,124348.5551,0,0.076322637,75,0.973662885,0.898703404,0.041155685,0.065640194,15,15.5,27,27.2,43.1,32.3,75.5,4.9,10.9,4.9,3.1,5.1,12.9,30.7,3,12.1,11.5,14.1,8.3,32.2,32.7,22.3,7.8,9.3,19.6,5.2,15.1
9,36061011600,,,0.177,0.106,0.026841805,0.009785354,0.317988065,0.310451977,0.184463277,0.043,0.071770335,0.852526172,49410,0.521987436,157575,0.020766306,0.063034669,0.58,0.029707495,0.038066235,0.816011236,46876.89383,0.037570621,0.109080525,56,0.990855053,0.914951989,0.296860133,0.199359854,8.3,26.5,11.5,15.5,34.5,16.3,66.1,5.2,8.7,2.9,1.4,3,4.4,23.7,1.6,9.5,6.2,5,14.6,24.9,26,6.3,4.3,10.5,7.6,5,6.7
10,36061014602,,,0.135,0.211,0.010964422,0.013693219,0.160828025,0.224364704,0.097944068,0.056,0.172348485,0.853808614,139430,0.502573283,141378,0.043034095,0.080159062,0.4933,0.054959492,0.003399258,0.711224273,185776.9351,0,0.013425822,56,1,0.766228672,0.194725903,0.123553638,7.7,26.7,10.7,15.5,33.2,16.6,67.4,5.6,8.6,3.1,1.4,3,4.4,24.4,1.7,9,6.1,4.6,14.4,25.3,26.2,5.1,2.9,9.7,7.5,5.1,5.8
